,Unnamed: 0,Newspaper
15,15,barrie advance innisfil journal
29,29,brantford your brant connection
31,31,brighton independent northumberland news
36,36,burlington de nederlandse courant
46,46,chatham kent this week
54,54,collingwood connection wasaga stayner sun
65,65,dryden observer red lake northern sun news
66,66,dryden the rising sun
136,136,kingston emc
163,163,markham economist sun stouffville sun tribune
202,202,nunavut news north
203,203,nwt news north
216,216,oshawa whitby clarington this week port perry star
264,264,south bruce weekender
292,292,toronto aaj kaal
293,293,toronto bloor west parkdale liberty villager
303,303,toronto correo canadiense
309,309,toronto kanadai amerikai magyarsag
322,322,toronto weekly punjabi awaaz
