,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,Year_only,Time,Post2017,OwnerPostmediaMetroland,Interaction,Interaction2,Interaction3
0,11.0,2013,7668.0,7668.0,0.0,1.0,metroland media group ltd.,7607.0,1.06,335.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2013,0,0,0,0.0,0.0,0.0
1,11.0,2014,7892.0,7892.0,0.0,1.0,metroland media group ltd.,7668.0,0.74,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2014,1,0,0,0.0,0.0,0.0
2,11.0,2015,7941.0,7941.0,0.0,1.0,metroland media group ltd.,7873.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2015,2,0,0,0.0,0.0,0.0
3,11.0,2016,8332.0,8332.0,0.0,1.0,metroland media group ltd.,7941.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2016,3,0,0,0.0,0.0,0.0
4,11.0,2017,8114.0,8114.0,0.0,1.0,metroland media group ltd.,8332.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2017,4,0,0,0.0,0.0,0.0
5,11.0,2018,8019.0,8019.0,0.0,1.0,metroland media group ltd.,8114.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2018,5,1,0,0.0,1.0,0.0
6,11.0,2019,7085.0,7085.0,0.0,1.0,metroland media group ltd.,7380.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2019,6,1,0,0.0,1.0,0.0
7,21.0,2013,52243.0,52243.0,0.0,1.0,metroland media group ltd.,52243.0,3.41,335.0,1160.0,barrie advance,barrie advance,barrie advance,2013,0,0,0,0.0,0.0,0.0
8,21.0,2014,52434.0,52434.0,0.0,1.0,metroland media group ltd.,52221.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2014,1,0,0,0.0,0.0,0.0
9,21.0,2015,52317.0,52317.0,0.0,1.0,metroland media group ltd.,52359.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2015,2,0,0,0.0,0.0,0.0
10,21.0,2016,52759.0,52759.0,0.0,1.0,metroland media group ltd.,52317.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2016,3,0,0,0.0,0.0,0.0
11,21.0,2017,52713.0,52713.0,0.0,1.0,metroland media group ltd.,52759.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2017,4,0,0,0.0,0.0,0.0
12,21.0,2018,52226.0,52226.0,0.0,1.0,metroland media group ltd.,52277.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2018,5,1,0,0.0,1.0,0.0
13,21.0,2019,51125.0,51125.0,0.0,1.0,metroland media group ltd.,51148.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2019,6,1,0,0.0,1.0,0.0
14,41.0,2013,17967.0,17967.0,0.0,1.0,metroland media group ltd.,9050.0,1.37,335.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2013,0,0,0,0.0,0.0,0.0
15,41.0,2014,10083.0,10083.0,0.0,1.0,metroland media group ltd.,9507.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2014,1,0,0,0.0,0.0,0.0
16,41.0,2015,10151.0,10151.0,0.0,1.0,metroland media group ltd.,10330.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2015,2,0,0,0.0,0.0,0.0
17,41.0,2016,10538.0,10538.0,0.0,1.0,metroland media group ltd.,10224.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2016,3,0,0,0.0,0.0,0.0
18,41.0,2017,10504.0,10504.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2017,4,0,0,0.0,0.0,0.0
19,41.0,2018,10470.0,10470.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2018,5,1,0,0.0,1.0,0.0
20,41.0,2019,10436.0,10436.0,0.0,1.0,metroland media group ltd.,10434.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2019,6,1,0,0.0,1.0,0.0
21,203.0,2013,10726.0,10726.0,0.0,1.0,metroland media group ltd.,10726.0,1.37,335.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2013,0,0,0,0.0,0.0,0.0
22,203.0,2014,10891.0,10891.0,0.0,1.0,metroland media group ltd.,10785.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2014,1,0,0,0.0,0.0,0.0
23,203.0,2015,11376.0,11376.0,0.0,1.0,metroland media group ltd.,10998.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2015,2,0,0,0.0,0.0,0.0
24,203.0,2016,11661.0,11661.0,0.0,1.0,metroland media group ltd.,11376.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2016,3,0,0,0.0,0.0,0.0
25,203.0,2017,11848.0,11848.0,0.0,1.0,metroland media group ltd.,11661.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2017,4,0,0,0.0,0.0,0.0
26,203.0,2018,11885.0,11885.0,0.0,1.0,metroland media group ltd.,11848.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2018,5,1,0,0.0,1.0,0.0
27,203.0,2019,11866.0,11866.0,0.0,1.0,metroland media group ltd.,11849.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2019,6,1,0,0.0,1.0,0.0
28,295.0,2013,179700.0,179700.0,0.0,1.0,metroland media group ltd.,167300.0,3.79,335.0,1160.0,niagara this week,niagara this week,niagara this week,2013,0,0,0,0.0,0.0,0.0
29,295.0,2014,151925.0,151925.0,0.0,1.0,metroland media group ltd.,180050.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,2014,1,0,0,0.0,0.0,0.0
30,295.0,2015,159755.0,159755.0,0.0,1.0,metroland media group ltd.,151925.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,2015,2,0,0,0.0,0.0,0.0
31,295.0,2016,155941.0,155941.0,0.0,1.0,metroland media group ltd.,159597.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,2016,3,0,0,0.0,0.0,0.0
32,295.0,2017,156663.5,156663.5,0.0,1.0,metroland media group ltd.,159597.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,2017,4,0,0,0.0,0.0,0.0
33,295.0,2018,157386.0,157386.0,0.0,1.0,metroland media group ltd.,157002.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,2018,5,1,0,0.0,1.0,0.0
34,295.0,2019,156690.0,156690.0,0.0,1.0,metroland media group ltd.,156928.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,2019,6,1,0,0.0,1.0,0.0
35,322.0,2015,22717.0,22717.0,0.0,1.0,metroland media group ltd.,22731.0,2.75,1160.0,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,2015,2,0,0,0.0,0.0,0.0
36,322.0,2016,22631.0,22631.0,0.0,1.0,metroland media group ltd.,22722.0,2.75,1160.0,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,2016,3,0,0,0.0,0.0,0.0
37,322.0,2017,22546.666666666668,22546.666666666668,0.0,1.0,metroland media group ltd.,22631.0,2.75,1160.0,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,2017,4,0,0,0.0,0.0,0.0
38,322.0,2018,22462.33333333333,22462.33333333333,0.0,1.0,metroland media group ltd.,22460.0,2.75,1160.0,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,2018,5,1,0,0.0,1.0,0.0
39,322.0,2019,22378.0,22378.0,0.0,1.0,metroland media group ltd.,22338.0,2.75,1160.0,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,2019,6,1,0,0.0,1.0,0.0
40,352.0,2013,45490.0,45490.0,0.0,1.0,metroland media group ltd.,45647.0,3.91,335.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2013,0,0,0,0.0,0.0,0.0
41,352.0,2014,45095.0,45095.0,0.0,1.0,metroland media group ltd.,45313.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2014,1,0,0,0.0,0.0,0.0
42,352.0,2015,44314.0,44314.0,0.0,1.0,metroland media group ltd.,44719.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2015,2,0,0,0.0,0.0,0.0
43,352.0,2016,43968.0,43968.0,0.0,1.0,metroland media group ltd.,44465.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2016,3,0,0,0.0,0.0,0.0
44,352.0,2017,43360.333333333336,43360.333333333336,0.0,1.0,metroland media group ltd.,43968.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2017,4,0,0,0.0,0.0,0.0
45,352.0,2018,42752.66666666666,42752.66666666666,0.0,1.0,metroland media group ltd.,43195.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2018,5,1,0,0.0,1.0,0.0
46,352.0,2019,42145.0,42145.0,0.0,1.0,metroland media group ltd.,41715.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2019,6,1,0,0.0,1.0,0.0
47,353.0,2013,46050.0,46050.0,0.0,1.0,metroland media group ltd.,45970.0,3.91,335.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2013,0,0,0,0.0,0.0,0.0
48,353.0,2014,45686.0,45686.0,0.0,1.0,metroland media group ltd.,45794.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2014,1,0,0,0.0,0.0,0.0
49,353.0,2015,44901.0,44901.0,0.0,1.0,metroland media group ltd.,45276.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2015,2,0,0,0.0,0.0,0.0
50,353.0,2016,44528.0,44528.0,0.0,1.0,metroland media group ltd.,45043.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2016,3,0,0,0.0,0.0,0.0
51,353.0,2017,43740.333333333336,43740.333333333336,0.0,1.0,metroland media group ltd.,44528.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2017,4,0,0,0.0,0.0,0.0
52,353.0,2018,42952.66666666666,42952.66666666666,0.0,1.0,metroland media group ltd.,43797.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2018,5,1,0,0.0,1.0,0.0
53,353.0,2019,42165.0,42165.0,0.0,1.0,metroland media group ltd.,42182.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,2019,6,1,0,0.0,1.0,0.0
54,495.0,2013,10819.0,10819.0,0.0,1.0,metroland media group ltd.,11500.0,2.16,335.0,1160.0,collingwood wasaga the connection,collingwood connection,the connection,2013,0,0,0,0.0,0.0,0.0
55,495.0,2014,11098.0,11098.0,0.0,1.0,metroland media group ltd.,10819.0,2.35,1160.0,1160.0,collingwood wasaga the connection,collingwood connection,the connection,2014,1,0,0,0.0,0.0,0.0
56,495.0,2015,11191.4,11191.4,0.0,1.0,,10972.4,2.35,1160.0,1160.0,,,,2015,2,0,0,0.0,0.0,0.0
57,495.0,2016,11284.8,11284.8,0.0,1.0,,11125.8,2.35,1160.0,1160.0,,,,2016,3,0,0,0.0,0.0,0.0
58,495.0,2017,11378.2,11378.2,0.0,1.0,,11279.2,2.35,1160.0,1160.0,,,,2017,4,0,0,0.0,0.0,0.0
59,495.0,2018,11471.6,11471.6,0.0,1.0,,11432.6,2.35,1160.0,1160.0,,,,2018,5,1,0,0.0,1.0,0.0
60,495.0,2019,11565.0,11565.0,0.0,1.0,metroland media group ltd.,11586.0,2.35,1160.0,1160.0,collingwood wasaga the connection,collingwood connection,the connection,2019,6,1,0,0.0,1.0,0.0
61,561.0,2013,13368.0,13368.0,0.0,1.0,sun media corporation,13399.0,0.85,118.0,294.0,trenton trentonian,trenton trentonian,trentonian,2013,0,0,1,0.0,0.0,1.0
62,561.0,2014,14100.0,14100.0,0.0,1.0,sun media corporation,13368.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,2014,1,0,1,0.0,0.0,1.0
63,561.0,2015,14638.0,14638.0,0.0,1.0,sun media corporation,14119.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,2015,2,0,1,0.0,0.0,1.0
64,561.0,2016,15114.0,15114.0,0.0,1.0,sun media corporation,14638.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,2016,3,0,1,0.0,0.0,1.0
65,561.0,2017,15160.0,15160.0,0.0,1.0,postmedia network inc.,14992.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,2017,4,0,1,0.0,0.0,1.0
66,561.0,2018,14835.0,14835.0,0.0,1.0,postmedia network inc.,15160.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,2018,5,1,1,1.0,1.0,1.0
67,561.0,2019,14835.0,14835.0,0.0,1.0,postmedia network inc.,15160.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,2019,6,1,1,1.0,1.0,1.0
