,Newspaper,Remove,Check
0,ajax/pickering news advertiser,,1
1,barrie advance/innisfil journal,1,1
2,blyth/brussels citizen,,1
3,brighton independent/northumberland news,1,1
4,burlington post/flamborough review,1,1
5,campbellford/northwest emc,,1
6,carleton place/almonte emc,,1
7,dresden/bothwell leader spirit,,1
8,east york/riverdale/beach mirror,,1
9,georgetown/acton independent & free press,,1
10,hamilton/burlington bay observer,,1
11,kawartha lakes/north durham caps community news,,1
12,kingston/frontenac this week,,1
13,markham economist & sun/stouffville sun tribune,1,1
14,meaford express/blue mountains courier herald,,
15,nepean/barrhaven news,,
16,newmarket era/aurora banner/georgina advocate,,
17,newmarket era/aurora banner,,
18,nunavut news/north,,
19,nwt news/north,,
20,nwt/nunavut news/north,,
21,oshawa/whiteby/clarington this week/port perry star,,
22,oshawa/whitby this week,,
23,oshawa/whitby/claringtonington this week,,
24,port perry/uxbridge the standard,,
25,richmond hill /thornhill liberal,,
26,sarnia/lambton county this week,,
27,st. thomas/elgin weekly news,,
28,stirling/northeast emc,,
29,tilbury/wheatley this week,,
30,toronto bloor west/parkdale liberty villager,,
31,wasaga sun/stayner sun,,
32,carleton place/almonte canadian gazette,,
33,collingwood connection/wasaga/stayner sun,,
34,grimsby/lincoln/west lincoln news now,,
35,hagersville/cayuga haldimand press,,
36,mississauga news apt/condo/malton edition,,
37,newmarket era/aurora banner/east gwillimbury express,,
38,wasaga/stayner sun,,
39,central hastings/trent hills news,,
40,forest/watford standard guide advocate,,
41,kirkland lake northern news/this week,,
42,parkhill/glencoe gazette transcript & free press,,
43,dryden observer/red lake northern sun news,,
44,leamington/wheatley/kingsville southpoint sun,,
45,oshawa/whitby/claringtonington this week/port perry star,,
46,ottawa community voice kanata/stittsville,,
