Newspaper,Year,Checked
advertiser,1,1
amherstburg river town times,1,1
aurora king connection,1,1
bancroft times,1,1
banner,1,
barrys bay this week,1,1
beach  east york neighbourhood voice,1,1
belleville/quinte region the community press,1,1
blenheim newstribune,1,1
blue mountains courierherald,1,
blyth/brussels citizen,1,1
bradford topic,1,1
bradford west gwillimburytopic,1,1
brighton Independent,1,1
brockville st. lawrence emc,1,1
burford times,1,1
burks falls almaguin news,1,1
campbellford/northwest emc,1,
cfb borden citizen,1,1
cfb petawawa post,1,1
cfb trenton contact,1,1
chapleau express,1,1
chatham this week,1,1
chesterville record,1,1
city centre/york mirror,1,
clinton news record,1,1
collingwood enterprisebulletin,1,
cornwall express,1,1
deep river north renfrew times,1,1
delhi newsrecord,1,1
dorchester signpost,1,1
drayton community news,1,1
dundalk herald,1,1
east york/beach mirror,1,1
eganville leader,1,1
elliot lake standard,1,1
elmirawoolwich observer,1,1
elmvale springwater news,1,1
embrun news,1,1
epoch times toronto,1,1
erin advocate,1,1
espanola midnorth monitor,1,
etc...news,1,
exeter timesadvocate,1,1
exeter timesadvocate weekender,1,1
express l,1,1
fergus wellington advertiser,1,1
ferguselora news express,1,1
flesherton advance,1,1
fonthill pelham news,1,1
forest standard,1,1
gananoque reporter,1,1
georgetown/acton independent & free press,1,1
glencoe transcript/free press,1,1
grand river sachem,1,1
haliburton county echo,1,1
haliburton highlander,1,1
hamilton mountain news,1,1
highlander,1,1
ignace driftwood,1,1
innisfil scope,1,
iroquois falls enterprise,1,1
kanata kouriers tandard,1,1
kapuskasing horizon,1,1
kapuskasing northern times,1,1
kapuskasing the weekender,1,1
kenora lake of the woods enterprise,1,1
king township weekly sentinel,1,1
king weekly,1,1
"kitchener citizen, east edition",1,
"kitchener citizen, west edition",1,
lake erie beacon,1,1
lambtonmiddlesex standard,1,
leader spirit,1,
leamington southpoint sun,1,1
lucknow sentinel,1,1
manitouwadge echo,1,1
markham economist & sun,1,1
mattawa recorder,1,
midland/ penetanguishene mirror,1,1
millbrook times,1,1
minden times,1,
mississauga news this week,1,
morrisburg leader,1,1
mount forest bizbull,1,1
muskoka district weekender,1,
newmarket/aurora era banner/aurora banner,1,1
northern news this week,1,
norwich gazette,1,1
ntw town crier,1,1
oakville beaver,1,1
oakville today,1,
oshawa express,1,1
"ottawa community voice, alta vistacanterbury",1,
"ottawa community voice, greenborosouth keys",1,
"ottawa community voice, hunt clubriverside park",1,
"ottawa community voice, west carleton",1,
ottawa embassy,1,1
paris star,1,1
parkhill gazette,1,1
pembroke observer and news,1,
pickering news advertiser,1,1
red lake northern sun news,1,1
richmond hill/thornhill liberal,1,1
rockland vision,1,
russell villager,1,
shoreline beacon,1,1
simcoe times reformer,1,1
sioux lookout bulletin,1,1
st. thomas/elgin weekly news,1,1
stayner sun,1,1
stirling/northeast emc,1,
stouffville suntribune,1,1
stratford marketplace,1,1
strathroy age dispatch,1,1
streeter central toronto,1,
streeter forest hill,1,
streeter leaside,1,
streeter north toronto,1,
sudbury northern life,1,1
tecumseh/st. clair beach/windsor shoreline week,1,1
thamesville herald,1,1
the bulletin,1,1
the burford advance,1,
the community press / la presse communautaire,1,
the epoch times english edition  toronto,1,
the free press,1,
the kincardine news,1,1
the lindsay post,1,
the wasaga sun,1,1
tillsonburg independent,1,1
vaughan tandem,1,1
vaughan weekly,1,
walkerton herald times,1,1
wallaceburg courier press,1,1
wasaga sun,1,1
watford guideadvocate,1,1
west elgin chronicle,1,1
west nipissing tribune,1,1
westport review mirror,1,1
wheatley journal,1,1
woodbridge advertiser,1,1
york  city centre neighbourhood voice,1,
