CDs,Others,metroland media group ltd.,postmedia network inc.
Brant,1.0,0.0,2.0
Elgin,1.0,0.0,1.0
Frontenac,2.0,0.0,1.0
Grey,3.0,0.0,0.0
Haldimand-Norfolk,4.0,1.0,1.0
Hastings,7.0,0.0,2.0
Huron,1.0,1.0,6.0
Leeds and Grenville,4.0,1.0,1.0
Middlesex,8.0,0.0,2.0
Niagara,5.0,8.0,0.0
Northumberland,0.0,2.0,0.0
Ottawa,9.0,0.0,0.0
Perth,2.0,3.0,2.0
Peterborough,3.0,2.0,0.0
Simcoe,9.0,8.0,1.0
BrantElginFrontenacGreyHaldimand-NorfolkHastingsHuronLeeds and GrenvilleMiddlesexNiagaraNorthumberlandOttawaPerthPeterboroughSimcoe,0.0,0.0,0.0
BrantElginFrontenacGreyHaldimand-NorfolkHastingsHuronLeeds and GrenvilleMiddlesexNiagaraNorthumberlandOttawaPerthPeterboroughSimcoeBrantElginFrontenacGreyHaldimand-NorfolkHastingsHuronLeeds and GrenvilleMiddlesexNiagaraNorthumberlandOttawaPerthPeterboroughSimcoe,59.0,26.0,19.0
