CDs,Others,metroland media group ltd.,postmedia network inc.,Others,metroland media group ltd.,postmedia network inc.
Brant,3,1,2,3,0,2
Elgin,2,1,1,1,0,1
Frontenac,2,2,1,2,0,1
Greater Sudbury / Grand Sudbury,4,1,0,4,0,0
Grey,3,1,0,3,0,0
Haldimand-Norfolk,4,2,1,4,1,1
Hastings,7,4,2,7,0,2
Huron,1,3,4,1,1,6
Leeds and Grenville,4,2,1,4,1,1
Middlesex,6,1,2,8,0,2
Niagara,5,5,8,5,8,0
Northumberland,0,4,1,0,2,0
Ottawa,5,8,0,9,0,0
Perth,2,6,2,2,3,2
Peterborough,3,1,1,3,2,0
Simcoe,9,8,6,9,8,1
,60,50,32,65,26,19
